,ch2_20,random_30,ch2,IG_normal,MI+gini_normal,f_classif,gini,xgboost,rfe,random,boruta,mrmr,cife,disr,csf,ch2_60,IG_normal_60,MI+gini_normal_60,f_classif_60,gini_60,xgboost_60,rfe_60,random_60,mrmr_60,cife_60,disr_60,ch2_50,IG_normal_50,MI+gini_normal_50,f_classif_50,gini_50,xgboost_50,rfe_50,random_50,mrmr_50,cife_50,disr_50,ch2_40,IG_normal_40,MI+gini_normal_40,f_classif_40,gini_40,xgboost_40,rfe_40,random_40,mrmr_40,cife_40,disr_40,ch2_30,IG_normal_30,MI+gini_normal_30,f_classif_30,gini_30,xgboost_30,rfe_30,mrmr_30,cife_30,disr_30,IG_normal_20,MI+gini_normal_20,f_classif_20,gini_20,xgboost_20,rfe_20,random_20,mrmr_20,cife_20,disr_20
ifeature,3,7,15,1,15,15,15,16,14,16,4,15,17,31,6,12,1,13,12,13,13,15,15,14,14,26,10,1,10,10,10,9,11,12,11,11,21,8,1,8,8,7,8,6,10,10,9,16,5,1,5,5,5,7,5,6,7,11,1,3,2,3,2,3,2,4,4,6
possum_features,15,18,40,39,40,37,40,35,39,36,27,40,40,39,7,35,34,35,32,35,30,34,31,35,35,34,30,29,30,27,30,26,29,27,30,30,29,25,24,25,22,25,23,24,22,25,25,24,20,19,20,18,20,18,19,20,20,19,14,15,13,15,14,14,14,15,15,14
